"Model_No","Screen_Tech","Labelled energy consumption (kWh/year)","GrandDate","Star2","Category_Screen_inches"
"KD-85X85K","LCD (LED)",875,"2013-05-21",4,"80"
"LT-75N7125A","LCD (LED)",758,"2013-05-21",4,"70"
"LT-65N7115AM","LCD (LED)",370,"2013-05-21",6,"65"
"AK8521S6WOS","LCD",600,"2013-05-21",6,"80"
"LT-55NQ7105AT2","LCD (LED)",320,"2013-05-21",5,"50"
"LS85UHDNF","LCD",600,"2013-05-21",6,"80"
"ATV40FHDG-**** (*=0-9)","LCD",151,"2013-05-21",6,"43"
"ATV40FHDG-0322","LCD",151,"2013-05-21",6,"43"
"ATV40FHDG-0721","LCD",151,"2013-05-21",6,"43"
"KALED50XU9220STD","LCD (LED)",284,"2013-05-21",5,"50"
"KALED75XU9220STA","LCD (LED)",536,"2013-05-21",5.5,"70"
"KAQLED65XQ9610STB","LCD (LED)",572,"2013-05-21",4,"65"
"KALED32RH9310STA","LCD (LED)",104,"2013-05-21",6,"32"
"QA32LS03BBK","LCD (LED)",145,"2013-05-21",4.5,"32"
"QA32LS03BBW","LCD (LED)",145,"2013-05-21",4.5,"32"
"QA32LS03BBS","LCD (LED)",145,"2013-05-21",4.5,"32"
"QA32LS03B**","LCD (LED)",145,"2013-05-21",4.5,"32"
"KD-43X85K","LCD (LED)",286,"2013-05-21",3.5,"43"
"AVS240WS","LCD (LED)",90,"2013-05-21",4.5,"22"
"55QNED85SQA","LCD (LED)",375,"2013-05-21",4.5,"50"
"55QNED866QA","LCD (LED)",375,"2013-05-21",4.5,"50"
"65QNED85SQA","LCD (LED)",484,"2013-05-21",4.5,"65"
"65QNED866QA","LCD (LED)",484,"2013-05-21",4.5,"65"
"75QNED85SQA","LCD (LED)",587,"2013-05-21",5,"70"
"75QNED866QA","LCD (LED)",587,"2013-05-21",5,"70"
"86QNED85SQA","LCD (LED)",754,"2013-05-21",5,"80"
"86QNED866QA","LCD (LED)",754,"2013-05-21",5,"80"
"XR-42A90K","OLED",256,"2013-05-21",4,"43"
"AVS240KS","LCD (LED)",91,"2013-05-21",4.5,"22"
"AVS325KS","LCD (LED)",145,"2013-05-21",4.5,"32"
"KALED58XU9230STA","LCD (LED)",448,"2013-05-21",4,"65"
"KALED24RH9310STA","LCD (LED)",68,"2013-05-21",6,"22"
"PL2421FHDC","LCD (LED)",68,"2013-05-21",6,"22"
"LE50GA522","LCD (LED)",210,"2013-05-21",6,"50"
"LE55GA522","LCD (LED)",247,"2013-05-21",6,"50"
"L24G5W","LCD (LED)",82,"2013-05-21",5,"22"
"L32G5W","LCD (LED)",131,"2013-05-21",5,"32"
"L40G5W","LCD (LED)",185,"2013-05-21",5,"43"
"KUD65WT806AN","LCD",505,"2013-05-21",4.5,"65"
"LT-43N7125A","LCD",235,"2013-05-21",4.5,"43"
"PL4021WOS","LCD",131,"2013-05-21",6,"43"
"VN65ID7021N","LCD (LED)",580,"2013-05-21",4,"65"
"43C635","LCD (LED)",218,"2013-05-21",4.5,"43"
"50C635","LCD (LED)",307,"2013-05-21",4.5,"50"
"55C635","LCD (LED)",320,"2013-05-21",5,"50"
"65C635","LCD (LED)",410,"2013-05-21",5.5,"65"
"75C635","LCD (LED)",527,"2013-05-21",5.5,"70"
"VN32HD2021","LCD (LED)",116,"2013-05-21",5.5,"32"
"LT-50NQ7115A","LCD",354,"2013-05-21",4,"50"
"65ART90ESQA","OLED",462,"2013-05-21",5,"65"
"65ART90ESQB","OLED",462,"2013-05-21",5,"65"
"65ART90ESQC","OLED",462,"2013-05-21",5,"65"
"65ART90E6QA","OLED",462,"2013-05-21",5,"65"
"65ART90E6QB","OLED",462,"2013-05-21",5,"65"
"65ART90E6QC","OLED",462,"2013-05-21",5,"65"
"65ART90E","OLED",462,"2013-05-21",5,"65"
"KALED70UN8920SNA","LCD (LED)",667,"2013-05-21",4,"70"
"KALED70UN8920SNB","LCD (LED)",667,"2013-05-21",4,"70"
"KALED70UN8920SNC","LCD (LED)",667,"2013-05-21",4,"70"
"KALED70UN8920SND","LCD (LED)",667,"2013-05-21",4,"70"
"D70S218-U-T2C-S-I","LCD (LED)",667,"2013-05-21",4,"70"
"KALED70*","LCD (LED)",667,"2013-05-21",4,"70"
"KALED19PRIZC","LCD (LED)",62,"2013-05-21",5,"22"
"KALED24EH6300NA","LCD (LED)",83,"2013-05-21",5,"22"
"KALED24EH6300NB","LCD (LED)",83,"2013-05-21",5,"22"
"KALED24EH6300NC","LCD (LED)",83,"2013-05-21",5,"22"
"KALED24EH6300ND","LCD (LED)",83,"2013-05-21",5,"22"
"D236GD064C-T2C","LCD (LED)",83,"2013-05-21",5,"22"
"KALED24*","LCD (LED)",83,"2013-05-21",5,"22"
"ATV50UHDW-0422","LCD",220,"2013-05-21",6,"50"
"S65US","LCD",505,"2013-05-21",4.5,"65"
"MI-2227D","LCD (LED)",75,"2013-05-21",5,"22"
"55C735","LCD (LED)",320,"2013-05-21",5,"50"
"65C735","LCD (LED)",440,"2013-05-21",5,"65"
"75C735","LCD (LED)",665,"2013-05-21",4.5,"70"
"55C835","LCD (LED)",587,"2013-05-21",2.5,"50"
"65C835","LCD (LED)",726,"2013-05-21",3,"65"
"75C835","LCD (LED)",1130,"2013-05-21",2,"70"
"LS50UHDNF","LCD",220,"2013-05-21",6,"50"
"QA65S95BAW","LCD (LED)",569,"2013-05-21",4,"65"
"QA65S95BAS","LCD (LED)",569,"2013-05-21",4,"65"
"QA65S95BA*","LCD (LED)",569,"2013-05-21",4,"65"
"ATV70UHDW-0422","LCD",395,"2013-05-21",6,"70"
"QA55S95BA*","LCD (LED)",521,"2013-05-21",3,"50"
"QA55S95BAS","LCD (LED)",521,"2013-05-21",3,"50"
"QA55S95BAW","LCD (LED)",521,"2013-05-21",3,"50"
"U50G7P","LCD (LED)",265,"2013-05-21",5,"50"
"U55G7P","LCD (LED)",349,"2013-05-21",4.5,"50"
"U55QM8V","LCD (LED)",415,"2013-05-21",4,"50"
"U65QM8V","LCD (LED)",572,"2013-05-21",4,"65"
"LS24C12V","LCD",67,"2013-05-21",6,"22"
"TH-48LZ980Z","OLED",285,"2013-05-21",4.5,"50"
"Prison TV","LCD (LED)",60,"2013-05-21",5,"22"
"TH-55LZ980Z","OLED",354,"2013-05-21",4.5,"50"
"TH-65LZ980Z","OLED",460,"2013-05-21",5,"65"
"TH-55LZ1500Z","OLED",351,"2013-05-21",4.5,"50"
"TH-65LZ1500Z","OLED",446,"2013-05-21",5,"65"
"TH-55LZ2000Z","OLED",395,"2013-05-21",4,"50"
"TH-65LZ2000Z","OLED",490,"2013-05-21",4.5,"65"
"TH-77LZ2000Z","OLED",687,"2013-05-21",4.5,"80"
"L32G7P","LCD (LED)",116,"2013-05-21",5.5,"32"
"L40G7P","LCD (LED)",189,"2013-05-21",5,"43"
"U43G7P","LCD (LED)",240,"2013-05-21",4.5,"43"
"U58G7P","LCD (LED)",411,"2013-05-21",4.5,"65"
"U65G7P","LCD (LED)",506,"2013-05-21",4.5,"65"
"ATV55UHDQ-0722","LCD",305,"2013-05-21",5.5,"50"
"Q55 PRO QE","LCD (LED)",424,"2013-05-21",4,"50"
"50A7HAU","LCD (LED)",254,"2013-05-21",5.5,"50"
"50A7HNZ","LCD (LED)",254,"2013-05-21",5.5,"50"
"50A7H series","LCD (LED)",254,"2013-05-21",5.5,"50"
"55A7HAU","LCD (LED)",304,"2013-05-21",5.5,"50"
"55A7HNZ","LCD (LED)",304,"2013-05-21",5.5,"50"
"55A7H series","LCD (LED)",304,"2013-05-21",5.5,"50"
"43A7HNZ","LCD (LED)",242,"2013-05-21",4.5,"43"
"43A7HAU","LCD (LED)",242,"2013-05-21",4.5,"43"
"65PUT8507/79","LCD (LED)",469,"2013-05-21",4.5,"65"
"65PUT8507/75","LCD (LED)",469,"2013-05-21",4.5,"65"
"50PUT8507/79","LCD (LED)",329,"2013-05-21",4,"50"
"50PUT8507/75","LCD (LED)",329,"2013-05-21",4,"50"
"75C350LP","LCD (LED)",489,"2013-05-21",6,"70"
"W32D120GE","LCD (LED)",115,"2013-05-21",5.5,"32"
"W32D120G","LCD (LED)",115,"2013-05-21",5.5,"32"
"W32D120GAU","LCD (LED)",115,"2013-05-21",5.5,"32"
"W32D120G_AU","LCD (LED)",115,"2013-05-21",5.5,"32"
"32D120G","LCD (LED)",115,"2013-05-21",5.5,"32"
"32D120GAU","LCD (LED)",115,"2013-05-21",5.5,"32"
"32D120G_AU","LCD (LED)",115,"2013-05-21",5.5,"32"
"WD40RGE","LCD (LED)",135,"2013-05-21",6,"43"
"WD40RG","LCD (LED)",135,"2013-05-21",6,"43"
"WD40RGAU","LCD (LED)",135,"2013-05-21",6,"43"
"WD40RG_AU","LCD (LED)",135,"2013-05-21",6,"43"
"40RG","LCD (LED)",135,"2013-05-21",6,"43"
"40RGAU","LCD (LED)",135,"2013-05-21",6,"43"
"40RG_AU","LCD (LED)",135,"2013-05-21",6,"43"
"W43D210GE","LCD (LED)",138,"2013-05-21",7,"43"
"W43D210G","LCD (LED)",138,"2013-05-21",7,"43"
"W43D210GAU","LCD (LED)",138,"2013-05-21",7,"43"
"W43D210G_AU","LCD (LED)",138,"2013-05-21",7,"43"
"43D210G","LCD (LED)",138,"2013-05-21",7,"43"
"43D210GAU","LCD (LED)",138,"2013-05-21",7,"43"
"43D210G_AU","LCD (LED)",138,"2013-05-21",7,"43"
"BP750USG9300","LCD",692,"2013-05-21",4,"70"
"BP500USG9500","LCD",226,"2013-05-21",6,"50"
"K55DVAQ","LCD",380,"2013-05-21",4.5,"50"
"K32FSG11","LCD",130,"2013-05-21",5,"32"
"43A7H series","LCD (LED)",242,"2013-05-21",4.5,"43"
"65A7HNZ","LCD (LED)",416,"2013-05-21",5.5,"65"
"65A7HAU","LCD (LED)",416,"2013-05-21",5.5,"65"
"75A7HNZ","LCD (LED)",528,"2013-05-21",5.5,"70"
"75A7HAU","LCD (LED)",528,"2013-05-21",5.5,"70"
"65A7H series","LCD (LED)",416,"2013-05-21",5.5,"65"
"75A7H series","LCD (LED)",528,"2013-05-21",5.5,"70"
"85A7HAU","LCD (LED)",698,"2013-05-21",5.5,"80"
"85A7HNZ","LCD (LED)",698,"2013-05-21",5.5,"80"
"85A7H series","LCD (LED)",698,"2013-05-21",5.5,"80"
"K58USG","LCD (LED)",465,"2013-05-21",4,"65"
"50A6HAU","LCD (LED)",254,"2013-05-21",5.5,"50"
"BP3200HDV7100","LCD (LED)",131,"2013-05-21",5,"32"
"K65DVAQ","LCD",725,"2013-05-21",3,"65"
"HG50BU800AW","LCD (LED)",346,"2013-05-21",4,"50"
"HG55BU800AW","LCD (LED)",416,"2013-05-21",4,"50"
"55PUT8507/79","LCD (LED)",381,"2013-05-21",4.5,"50"
"55PUT8507/75","LCD (LED)",381,"2013-05-21",4.5,"50"
"HG43BU800AW","LCD (LED)",270,"2013-05-21",4,"43"
"HG65BU800AW","LCD (LED)",437,"2013-05-21",5,"65"
"HG75BU800AW","LCD (LED)",576,"2013-05-21",5,"70"
"58A6HAU","LCD (LED)",335,"2013-05-21",5.5,"65"
"43C350LP","LCD (LED)",214,"2013-05-21",5,"43"
"50C350LP","LCD (LED)",269,"2013-05-21",5,"50"
"55C350LP","LCD (LED)",269,"2013-05-21",6,"50"
"65C350LP","LCD (LED)",333,"2013-05-21",6,"65"
"50PUT8217/79","LCD (LED)",248,"2013-05-21",5.5,"50"
"50PUT8217/75","LCD (LED)",248,"2013-05-21",5.5,"50"
"75PUT8507/79","LCD (LED)",537,"2013-05-21",5.5,"70"
"75PUT8507/75","LCD (LED)",537,"2013-05-21",5.5,"70"
"85P735","LCD (LED)",728,"2013-05-21",5,"80"
"85C735","LCD (LED)",941,"2013-05-21",4,"80"
"55PUT8217/79","LCD (LED)",293,"2013-05-21",5.5,"50"
"55PUT8217/75","LCD (LED)",293,"2013-05-21",5.5,"50"
"43UQ751C0LF","LCD (LED)",284,"2013-05-21",3.5,"43"
"50UQ751C0LF","LCD (LED)",342,"2013-05-21",4,"50"
"55UQ751C0LF","LCD (LED)",419,"2013-05-21",4,"50"
"65UQ751C0LF","LCD (LED)",532,"2013-05-21",4,"65"
"75UQ801C0LB","LCD (LED)",605,"2013-05-21",5,"70"
"42LX1Q6LA","OLED",232,"2013-05-21",4.5,"43"
"42LX1QPSA","OLED",232,"2013-05-21",4.5,"43"
"48LX1Q6LA","OLED",284,"2013-05-21",4.5,"50"
"48LX1QPSA","OLED",284,"2013-05-21",4.5,"50"
"55LX1Q6LA","OLED",349,"2013-05-21",4.5,"50"
"55LX1QPSA","OLED",349,"2013-05-21",4.5,"50"
"LE-24T1","LCD (LED)",70,"2013-05-21",5.5,"22"
"LE-24T2","LCD (LED)",70,"2013-05-21",5.5,"22"
"LE-24T3","LCD (LED)",70,"2013-05-21",5.5,"22"
"LE-24V1","LCD (LED)",70,"2013-05-21",5.5,"22"
"LE-24V2","LCD (LED)",70,"2013-05-21",5.5,"22"
"LE-24V3","LCD (LED)",70,"2013-05-21",5.5,"22"
"LS60UHDNF","LCD",320,"2013-05-21",6,"65"
"K75DVAQ","LCD",750,"2013-05-21",4,"70"
"BP650USG9500","LCD",505,"2013-05-21",4.5,"65"
"Q65 PRO QE","LCD (LED)",400,"2013-05-21",5.5,"65"
"TH-43LX650Z","LCD (LED)",215,"2013-05-21",5,"43"
"TH-50LX650Z","LCD (LED)",270,"2013-05-21",5,"50"
"TH-65LX650Z","LCD (LED)",365,"2013-05-21",6,"65"
"TH-55LX650Z","LCD (LED)",330,"2013-05-21",5,"50"
"TH-75LX650Z","LCD (LED)",435,"2013-05-21",6,"70"
"TH-43LX800Z","LCD (LED)",215,"2013-05-21",5,"43"
"TH-50LX800Z","LCD (LED)",310,"2013-05-21",4.5,"50"
"TH-65LX800Z","LCD (LED)",450,"2013-05-21",5,"65"
"TH-75LX800Z","LCD (LED)",610,"2013-05-21",5,"70"
"55U6HNZ","LCD (LED)",339,"2013-05-21",5,"50"
"65U6HNZ","LCD (LED)",416,"2013-05-21",5.5,"65"
"KALED50XU9220STE","LCD (LED)",284,"2013-05-21",5,"50"
"55M550LP","LCD (LED)",341,"2013-05-21",5,"50"
"50M550LP","LCD (LED)",254,"2013-05-21",5.5,"50"
"65M550LP","LCD (LED)",372,"2013-05-21",6,"65"
"AK2421FHD","LCD (LED)",68,"2013-05-21",6,"22"
"AK2421HD","LCD (LED)",68,"2013-05-21",6,"22"
"AK2421S5D","LCD (LED)",68,"2013-05-21",6,"22"
"KUD85SG692AS","LCD (LED)",766,"2013-05-21",5,"80"
"PL3222HDG","LCD",103,"2013-05-21",6,"32"
"LE32GA322","LCD (LED)",110,"2013-05-21",5.5,"32"
"LE-39T1","LCD (LED)",138,"2013-05-21",6,"43"
"LE-39T2","LCD (LED)",138,"2013-05-21",6,"43"
"LE-39T3","LCD (LED)",138,"2013-05-21",6,"43"
"LE-39V1","LCD (LED)",138,"2013-05-21",6,"43"
"LE-39V2","LCD (LED)",138,"2013-05-21",6,"43"
"LE-39V3","LCD (LED)",138,"2013-05-21",6,"43"
"50UR765H0VC","LCD (LED)",287,"2013-05-21",4.5,"50"
"55UR765H0VC","LCD (LED)",295,"2013-05-21",5.5,"50"
"65UR765H0VC","LCD (LED)",422,"2013-05-21",5,"65"
"LE-40T1","LCD (LED)",151,"2013-05-21",6,"43"
"LE-40T2","LCD (LED)",151,"2013-05-21",6,"43"
"LE-40T3","LCD (LED)",151,"2013-05-21",6,"43"
"LE-40V1","LCD (LED)",151,"2013-05-21",6,"43"
"LE-40V2","LCD (LED)",151,"2013-05-21",6,"43"
"LE-40V3","LCD (LED)",151,"2013-05-21",6,"43"
"75UR765H0VC","LCD (LED)",514,"2013-05-21",5.5,"70"
"LE-42T1","LCD (LED)",159,"2013-05-21",6,"43"
"LE-42T2","LCD (LED)",159,"2013-05-21",6,"43"
"LE-42T3","LCD (LED)",159,"2013-05-21",6,"43"
"LE-42V1","LCD (LED)",159,"2013-05-21",6,"43"
"LE-42V2","LCD (LED)",159,"2013-05-21",6,"43"
"LE-42V3","LCD (LED)",159,"2013-05-21",6,"43"
"LE-43T1","LCD (LED)",162,"2013-05-21",6,"43"
"LE-43T2","LCD (LED)",162,"2013-05-21",6,"43"
"LE-43T3","LCD (LED)",162,"2013-05-21",6,"43"
"LE-43V1","LCD (LED)",162,"2013-05-21",6,"43"
"LE-43V2","LCD (LED)",162,"2013-05-21",6,"43"
"LE-43V3","LCD (LED)",162,"2013-05-21",6,"43"
"65C935","LCD (LED)",689,"2013-05-21",3,"65"
"75C935","LCD (LED)",810,"2013-05-21",3.5,"70"
"ATV75UHDW-0622","LCD (LED)",469,"2013-05-21",6,"70"
"BP860USG9700","LCD (LED)",988,"2013-05-21",4,"80"
"55U7HAU","LCD (LED)",380,"2013-05-21",4.5,"50"
"55U7HNZ","LCD (LED)",380,"2013-05-21",4.5,"50"
"65U7HAU","LCD (LED)",464,"2013-05-21",5,"65"
"65U7HNZ","LCD (LED)",464,"2013-05-21",5,"65"
"75U7HAU","LCD (LED)",599,"2013-05-21",5,"70"
"75U7HNZ","LCD (LED)",599,"2013-05-21",5,"70"
"85U7HAU","LCD (LED)",868,"2013-05-21",4.5,"80"
"85U7HNZ","LCD (LED)",868,"2013-05-21",4.5,"80"
"32A4HAU","LCD (LED)",104,"2013-05-21",6,"32"
"40A4HAU","LCD (LED)",135,"2013-05-21",6,"43"
"QA98QN100BW","LCD (LED)",1602,"2013-05-21",3,"100"
"QA98QN100BS","LCD (LED)",1602,"2013-05-21",3,"100"
"QA98QN100B*","LCD (LED)",1602,"2013-05-21",3,"100"
"55U7H series","LCD (LED)",380,"2013-05-21",4.5,"50"
"65U7H series","LCD (LED)",464,"2013-05-21",5,"65"
"75U7H series","LCD (LED)",599,"2013-05-21",5,"70"
"85U7H series","LCD (LED)",868,"2013-05-21",4.5,"80"
"HG43Q60BAAW","LCD (LED)",259,"2013-05-21",4,"43"
"HG50Q60BAAW","LCD (LED)",295,"2013-05-21",4.5,"50"
"HG55Q60BAAW","LCD (LED)",321,"2013-05-21",5,"50"
"HG65Q60BAAW","LCD (LED)",430,"2013-05-21",5,"65"
"HG75Q60BAAW","LCD (LED)",671,"2013-05-21",4.5,"70"
"ATV40FHDG-1122","LCD (LED)",148,"2013-05-21",6,"43"
"ATV40FHDG-0822","LCD (LED)",148,"2013-05-21",6,"43"
"TH-55LX800Z","LCD (LED)",380,"2013-05-21",4.5,"50"
"32PHT6915/79","LCD (LED)",146,"2013-05-21",4.5,"32"
"43PFT6915/79","LCD (LED)",206,"2013-05-21",5,"43"
"LE-40T1","LCD (LED)",151,"2013-05-21",6,"43"
"KALED40GF7600VA","LCD (LED)",151,"2013-05-21",6,"43"
"OLED55CS6LA","OLED",375,"2013-05-21",4.5,"50"
"OLED55CSPSA","OLED",375,"2013-05-21",4.5,"50"
"OLED65CS6LA","OLED",462,"2013-05-21",5,"65"
"OLED65CSPSA","OLED",462,"2013-05-21",5,"65"
"OLED77CS6LA","OLED",572,"2013-05-21",5.5,"80"
"OLED77CSPSA","OLED",572,"2013-05-21",5.5,"80"
"42LX3Q6LA","OLED",232,"2013-05-21",4.5,"43"
"42LX3QPSA","OLED",232,"2013-05-21",4.5,"43"
"50QNED7SSQA","LCD (LED)",269,"2013-05-21",5,"50"
"55QNED7SSQA","LCD (LED)",346,"2013-05-21",4.5,"50"
"65QNED7SSQA","LCD (LED)",419,"2013-05-21",5,"65"
"75QNED7SSQA","LCD (LED)",477,"2013-05-21",6,"70"
"JV55ID7A2022Q","LCD (LED)",400,"2013-05-21",4,"50"
"K32DVD","LCD",131,"2013-05-21",5,"32"
"55PUT7906/75","LCD (LED)",426,"2013-05-21",4,"50"
"65PML9506/75","LCD (LED)",725,"2013-05-21",3,"65"
"65PUT7906/75","LCD (LED)",518,"2013-05-21",4.5,"65"
"70PUT7906/75","LCD (LED)",589,"2013-05-21",4.5,"70"
"SMT-U50T1","LCD (LED)",210,"2013-05-21",6,"50"
"SMT-U55T1","LCD (LED)",247,"2013-05-21",6,"50"
"SMT-U65T1","LCD (LED)",386,"2013-05-21",5.5,"65"
"LE-32T1","LCD (LED)",110,"2013-05-21",5.5,"32"
"KALED32QH6200VA","LCD (LED)",110,"2013-05-21",5.5,"32"
"LE-24T1","LCD (LED)",70,"2013-05-21",5.5,"22"
"KALED24DH5200VA","LCD (LED)",70,"2013-05-21",5.5,"22"
"OLED97G2PSA","OLED",802,"2013-05-21",6,"100"
"OLED97G26LA","OLED",802,"2013-05-21",6,"100"
"S8LED185","LCD (LED)",67,"2013-05-21",4.5,"22"
"S8LED185S","LCD (LED)",67,"2013-05-21",4.5,"22"
"BP550USG9500","LCD",422,"2013-05-21",4,"50"
"S8LED215","LCD (LED)",93,"2013-05-21",4,"22"
"S8LED215S","LCD (LED)",93,"2013-05-21",4,"22"
"S8LED238","LCD (LED)",100,"2013-05-21",4,"22"
"S8LED238S","LCD (LED)",100,"2013-05-21",4,"22"
"ATV70UHDT-1022","LCD",420,"2013-05-21",6,"70"
"BP550USG9700","LCD",380,"2013-05-21",4.5,"50"
"55U8HAU","LCD (LED)",476,"2013-05-21",3.5,"50"
"55U8HNZ","LCD (LED)",476,"2013-05-21",3.5,"50"
"65U8HAU","LCD (LED)",638,"2013-05-21",3.5,"65"
"65U8HNZ","LCD (LED)",638,"2013-05-21",3.5,"65"
"75U8HAU","LCD (LED)",799,"2013-05-21",3.5,"70"
"75U8HNZ","LCD (LED)",799,"2013-05-21",3.5,"70"
"SMT-H32T1","LCD (LED)",110,"2013-05-21",5.5,"32"
"SMT-F40T1","LCD (LED)",151,"2013-05-21",6,"43"
"WY55F1F-EU","LCD (LED)",430,"2013-05-21",3.5,"50"
"32D3200","LCD (LED)",114,"2013-05-21",5.5,"32"
"S8LED215 series","LCD (LED)",93,"2013-05-21",4,"22"
"EA2277","LCD (LED)",378,"2013-05-21",4.5,"50"
"AV-H323115A11","LCD",118,"2013-05-21",5.5,"32"
"LT-32N3115A11","LCD",118,"2013-05-21",5.5,"32"
"55U8H series","LCD (LED)",476,"2013-05-21",3.5,"50"
"LT-40N5115A11","LCD",186,"2013-05-21",5,"43"
"AV-H657115A11","LCD",512,"2013-05-21",4.5,"65"
"LT-65N7115A11","LCD",512,"2013-05-21",4.5,"65"
"AV-H557135A11","LCD",375,"2013-05-21",4.5,"50"
"LT-55N7115A11","LCD",375,"2013-05-21",4.5,"50"
"NA","LCD",375,"2013-05-21",4.5,"50"
"AV-H437115A11","LCD",269,"2013-05-21",4,"43"
"75U8H series","LCD (LED)",799,"2013-05-21",3.5,"70"
"65U8H series","LCD (LED)",638,"2013-05-21",3.5,"65"
"H24","LCD",53,"2013-05-21",7,"22"
"LS98UHDNF","LCD",823,"2013-05-21",6,"100"
"AK5021S6WOS","LCD (LED)",220,"2013-05-21",6,"50"
"BP400FSG9700","LCD",186,"2013-05-21",5,"43"
"L32D6C","LCD (LED)",112,"2013-05-21",5.5,"32"
"K75USW","LCD",840,"2013-05-21",3.5,"70"
"BP650USG9700","LCD",512,"2013-05-21",4.5,"65"
"KALED55RT9230SVA","LCD (LED)",247,"2013-05-21",6,"50"
"55AN960H0SD","OLED",258,"2013-05-21",6,"50"
"65AN960H0SD","OLED",320,"2013-05-21",6,"65"
"VNG22F5022","LCD (LED)",280,"2013-05-21",5,"50"
"VNG22F5522","LCD",350,"2013-05-21",4.5,"50"
"LED40X70","LCD (LED)",140,"2013-05-21",6,"43"
"55MXD9500N","OLED",424,"2013-05-21",4,"50"
"65MXD9500N","OLED",586,"2013-05-21",4,"65"
"75U80HAU","LCD (LED)",955,"2013-05-21",3,"70"
"55X8HAU","OLED",319,"2013-05-21",5,"50"
"65X8HAU","OLED",369,"2013-05-21",6,"65"
"75U9HAU","LCD (LED)",854,"2013-05-21",3.5,"70"
"65U9HAU","LCD (LED)",649,"2013-05-21",3.5,"65"
"65X9HAU","OLED",459,"2013-05-21",5,"65"
"98U7HNZ","LCD (LED)",1028,"2013-05-21",5,"100"
"98U7HAU","LCD (LED)",1028,"2013-05-21",5,"100"
"98U7H series","LCD (LED)",1028,"2013-05-21",5,"100"
"LS82UHDNF2","LCD",630,"2013-05-21",5.5,"80"
"LED32X70","LCD (LED)",148,"2013-05-21",4.5,"32"
"Smart LED TV","LCD (LED)",148,"2013-05-21",4.5,"32"
"FDFD24D4D","LCD",120,"2013-05-21",3.5,"22"
"VNG22F7522","LCD (LED)",650,"2013-05-21",4.5,"70"
"VNG22F6522","LCD (LED)",520,"2013-05-21",4.5,"65"
"KAOLED55X2SKA","OLED",424,"2013-05-21",4,"50"
"KAOLED65X2SKA","OLED",586,"2013-05-21",4,"65"
"65RP630","LCD (LED)",220,"2013-05-21",8,"65"
"55RP630","LCD (LED)",190,"2013-05-21",7,"50"
"43UQ901C0SD","LCD (LED)",276,"2013-05-21",3.5,"43"
"50UQ901C0SD","LCD (LED)",331,"2013-05-21",4,"50"
"55UQ901C0SD","LCD (LED)",419,"2013-05-21",4,"50"
"65UQ901C0SD","LCD (LED)",543,"2013-05-21",4,"65"
"75UQ901C0SD","LCD (LED)",605,"2013-05-21",5,"70"
"86UQ901C0SD","LCD (LED)",915,"2013-05-21",4,"80"
"KKD43SG396A","LCD (LED)",181,"2013-05-21",5.5,"43"
"LSK55WSFW","LCD",272,"2013-05-21",6,"50"
"LSK50WSFW","LCD",225,"2013-05-21",6,"50"
"ATV60UHDW-1023","LCD",296,"2013-05-21",6,"65"
"BP240HSG9700","LCD (LED)",105,"2013-05-21",4,"22"
"ILU-SMARTTV32-DVD","LCD",119,"2013-05-21",5,"32"
"VK3201D","LCD",119,"2013-05-21",5,"32"
"VK3202D","LCD",119,"2013-05-21",5,"32"
"VK3203D","LCD",119,"2013-05-21",5,"32"
"VK3204D","LCD",119,"2013-05-21",5,"32"
"VK3205D","LCD",119,"2013-05-21",5,"32"
"LSK32WSFW","LCD",105,"2013-05-21",6,"32"
"KALED75XU9420STA","LCD (LED)",488,"2013-05-21",6,"70"
"KALED32RH9510STA","LCD (LED)",104,"2013-05-21",6,"32"
"58P635","LCD (LED)",251,"2013-05-21",6,"65"
"JVG3B5022Q","LCD (LED)",318,"2013-05-21",4.5,"50"
"JVG3B5522Q","LCD (LED)",300,"2013-05-21",5.5,"50"
"JVG3B6522Q","LCD",460,"2013-05-21",5,"65"
"JVG3B7522Q","LCD (LED)",650,"2013-05-21",4.5,"70"
"JVG518622Q","LCD (LED)",980,"2013-05-21",4,"80"
"LS75UHDZEN","LCD",480,"2013-05-21",6,"70"
"K750USG","LCD",949,"2013-05-21",3,"70"
"ILU-SMARTTV24-DVD","LCD",112,"2013-05-21",3.5,"22"
"VK2401D","LCD",112,"2013-05-21",3.5,"22"
"VK2402D","LCD",112,"2013-05-21",3.5,"22"
"VK2403D","LCD",112,"2013-05-21",3.5,"22"
"VK2404D","LCD",112,"2013-05-21",3.5,"22"
"VK2405D","LCD",112,"2013-05-21",3.5,"22"
"K70USW","LCD",630,"2013-05-21",4,"70"
"K700USG","LCD",695,"2013-05-21",3.5,"70"
"LT-75N7125A11","LCD",811,"2013-05-21",3.5,"70"
"K400DVD","LCD",175,"2013-05-21",5,"43"
"ILU-SMARTTV32-DVD, VK3201D, VK3202D; VK3203D, VK3204D, VK3205D","LCD",119,"2013-05-21",5,"32"
"ILU-SMARTTV24-DVD, VK2401D, VK2402D, VK2403D, VK2404D, VK2405D","LCD",112,"2013-05-21",3.5,"22"
"KALED58TU9420SKA","LCD (LED)",410,"2013-05-21",4.5,"65"
"AV-HQ507115A11","LCD",374,"2013-05-21",3.5,"50"
"LT-50NQ7115A11","LCD",253,"2013-05-21",5,"50"
"VN50ID7022","LCD (LED)",345,"2013-05-21",4,"50"
